restaurant_id,strat,group
1,1,control
2,1,control
3,1,control
4,1,control
5,1,control
6,1,control
7,1,control
8,1,control
9,1,control
10,1,control
11,1,control
12,1,control
13,1,control
14,1,control
15,1,control
16,1,control
17,1,control
18,1,control
19,1,test
20,1,test
21,1,test
22,1,test
23,1,test
24,1,test
25,1,test
26,1,test
27,1,test
28,1,test
29,1,test
30,1,test
31,1,test
32,1,test
33,1,test
34,1,test
35,1,test
36,1,test
37,2,control
38,2,control
39,2,control
40,2,control
41,2,control
42,2,control
43,2,control
44,2,control
45,2,control
46,2,control
47,2,control
48,2,control
49,2,control
50,2,control
51,2,control
52,2,control
53,2,control
54,2,control
55,2,test
56,2,test
57,2,test
58,2,test
59,2,test
60,2,test
61,2,test
62,2,test
63,2,test
64,2,test
65,2,test
66,2,test
67,2,test
68,2,test
69,2,test
70,2,test
71,2,test
72,2,test
