Unnamed: 0,Fact ID,Market Segment,Price Group,Room Type,latitude,longitude,action_order_success,action_order_success_std,conversion_rate_total,Room Type_Price Group_Kmean_Cluster,Combined_Cluster,action_order_success_action_order_success_std_Dbscan_Cluster
59,74021462,Bryansk,0,2,53.27896405,34.36589361201107,4863,28.65483664758296,0.6936751960168275,0,0.0_0.0,0.0
209,74021157,Khimki,0,2,55.8917293,37.4396994,4737,30.542686798616824,0.7694867397748889,0,0.0_0.0,0.0
371,74020799,Moscow,4,4,55.625578,37.6063916,4930,28.86243406663109,0.7347485765458494,0,0.0_0.0,0.0
615,74021880,Nadym,0,3,65.532,72.52,4904,29.673800921905546,0.6190586184541123,0,0.0_0.0,0.0
688,74221444,Novosibirsk,1,4,55.0288307,82.9226887,4794,29.95811612575983,0.7000242239161685,0,0.0_0.0,0.0
1005,74021513,Taldom,0,3,56.730941,37.528016,4713,30.145572137223063,0.7693043285286117,0,0.0_0.0,0.0
1076,74021620,Ulyanovsk,0,3,54.3150278,48.403373,4719,31.274412686553987,0.6904673469296818,0,0.0_0.0,0.0
1110,74321843,Volgograd,4,3,48.6484138,44.38497559012991,4725,30.884973351896686,0.5804336155204207,0,0.0_0.0,0.0
206,74021836,Khabarovsk,0,3,51.6312684,136.121524,13018,75.13149291788481,0.6646464145897196,0,0.0_1.0,1.0
267,74221447,Krasnoyarsk,0,2,56.0090968,92.8725147,13387,75.02795636020598,0.7963450135096627,0,0.0_1.0,1.0
565,74021762,Moscow,4,3,55.625578,37.6063916,13124,74.8985696749168,0.7334974512266189,0,0.0_1.0,1.0
718,74220484,Omsk,9,4,54.9830067,73.37452243916528,13484,75.00690862082058,0.7158820668012817,0,0.0_1.0,1.0
847,74021029,Saint Petersburg,4,4,59.9606739,30.1586551,13138,75.40181004056524,0.7966417925202344,0,0.0_1.0,1.0
939,74021483,Saratov,0,3,51.530018,46.034683,13088,74.87960679507111,0.6193481014977196,0,0.0_1.0,1.0
1124,74321793,Voskresensk,4,3,55.322518,38.6816824,13249,75.49669281873487,0.7969131292893763,0,0.0_1.0,1.0
1145,74020661,Zelenodolsk,9,3,55.8586627,48.55746590061055,13225,75.76714592092344,0.7705210304607618,0,0.0_1.0,1.0
