restaurant_id,Market Segment,Price Group,Room Type,latitude,longitude
74321832,Abakan,6,3,53.72068,91.4406019
74321900,Abakan,6,3,53.72068,91.4406019
74221340,Achinsk,6,3,56.2694846,90.4953964
74014457,Aksay,4,0,47.268696,39.861362
74021557,Aleksandrov,9,3,56.3962287,38.7111103
74021895,Almetyevsk,0,3,54.9005008,52.2963777
74220499,Anapa,7,4,44.894272,37.316887
74221287,Anapa,7,3,44.894272,37.316887
74221451,Anapa,7,4,44.894272,37.316887
74220902,Andreevka,4,3,49.5241416,84.4687681
74021395,Angarsk,6,0,52.5443167,103.8882138
74021811,Anzhero-Sudzhensk,0,3,56.077808,86.019356
74221156,Aprelevka,4,2,55.5454306,37.0730417
74221175,Aprelevka,4,3,55.5454306,37.0730417
74021271,Arkhangelsk,5,0,64.543022,40.537121
74021467,Arkhangelsk,5,3,64.543022,40.537121
74021100,Armavir,7,0,44.9993585,41.1294061
74021165,Armavir,7,3,44.9993585,41.1294061
74021600,Artyom,0,3,43.3570377,132.1853629
74021315,Astrakhan,4,0,46.3498308,48.0326203
74021370,Astrakhan,4,0,46.3498308,48.0326203
74021614,Astrakhan,4,4,46.3498308,48.0326203
74021615,Astrakhan,4,3,46.3498308,48.0326203
74021616,Astrakhan,4,0,46.3498308,48.0326203
74021702,Astrakhan,4,3,46.3498308,48.0326203
74021867,Balakovo,0,3,52.01812,47.819141
74021534,Balashikha,0,3,55.7997662,37.9373707
74020490,Balashikha,0,2,55.7997662,37.9373707
74220627,Balashikha,0,2,55.7997662,37.9373707
74220970,Balashikha,0,3,55.7997662,37.9373707
74221019,Balashikha,0,4,55.7997662,37.9373707
74221037,Balashikha,4,3,55.7997662,37.9373707
74220934,Balashikha,0,2,55.7997662,37.9373707
74221419,Balashikha,4,0,55.7997662,37.9373707
74221442,Balashikha,0,0,55.7997662,37.9373707
74221472,Balashikha,0,4,55.7997662,37.9373707
74021976,Balashov,0,0,51.5546717,43.1430732
74020454,Barnaul,0,3,53.3475493,83.7788448
74020505,Barnaul,0,3,53.3475493,83.7788448
74020654,Barnaul,0,0,53.3475493,83.7788448
74020809,Barnaul,0,3,53.3475493,83.7788448
74020979,Barnaul,0,3,53.3475493,83.7788448
74021092,Barnaul,0,0,53.3475493,83.7788448
74021907,Barnaul,0,4,53.3475493,83.7788448
74021908,Barnaul,0,3,53.3475493,83.7788448
74021306,Bataysk,4,2,47.138527,39.742348
74020591,Belgorod,4,3,50.5955595,36.5873394
74020621,Belgorod,4,0,50.5955595,36.5873394
74021352,Belgorod,4,2,50.5955595,36.5873394
74021977,Belovo,0,3,54.419323,86.303429
74220834,Berdsk,1,2,54.75795,83.1068095
74321851,Berdsk,1,3,54.75795,83.1068095
74321831,Beryozovsky,0,3,56.9097871,60.8120254
74021243,Biysk,0,3,52.5394905,85.2148673
74021408,Blagoveshchensk,0,3,50.2600417,127.5337378
74021435,Blagoveshchensk,0,2,50.2600417,127.5337378
