restaurant_id,group,Метрика До,Метрика После,Изменение,"Изменение, %"
16,test,1013.44,984.12,-29.32,-2.89
20,test,1010.74,976.72,-34.02,-3.37
23,control,998.86,997.49,-1.37,-0.14
26,control,997.06,997.63,0.57,0.06
33,control,987.28,1019.2,31.92,3.23
39,test,998.75,983.4,-15.35,-1.54
42,test,998.54,987.83,-10.72,-1.07
48,control,978.98,1012.77,33.8,3.45
59,test,1009.26,991.47,-17.79,-1.76
69,test,1001.44,1002.88,1.44,0.14
72,control,1008.12,999.61,-8.51,-0.84
73,test,988.89,1016.04,27.15,2.75
79,control,1016.61,978.68,-37.93,-3.73
81,test,1017.8,1005.57,-12.23,-1.2
86,control,987.73,987.0,-0.73,-0.07
88,control,1014.13,991.73,-22.4,-2.21
115,test,997.75,987.34,-10.4,-1.04
116,control,1003.4,996.17,-7.23,-0.72
127,test,1027.03,1002.49,-24.54,-2.39
132,test,995.27,1032.11,36.83,3.7
147,control,1021.15,1025.4,4.24,0.42
152,control,1004.02,963.15,-40.87,-4.07
166,test,971.38,989.73,18.35,1.89
177,control,998.45,1021.92,23.47,2.35
180,test,1029.57,1022.27,-7.3,-0.71
205,test,1003.09,985.65,-17.44,-1.74
214,control,1000.5,996.63,-3.87,-0.39
220,test,986.23,976.39,-9.84,-1.0
226,control,1012.1,997.96,-14.14,-1.4
236,test,1001.07,1011.14,10.07,1.01
237,test,993.59,1035.92,42.33,4.26
242,test,1001.31,1010.84,9.53,0.95
246,control,990.14,1008.4,18.27,1.85
257,test,1018.97,979.75,-39.22,-3.85
259,test,1009.36,986.12,-23.24,-2.3
266,control,1000.82,1009.85,9.03,0.9
272,test,1013.18,991.81,-21.37,-2.11
277,control,989.98,989.8,-0.18,-0.02
280,control,983.46,990.83,7.37,0.75
291,control,983.59,996.14,12.56,1.28
303,control,995.78,996.21,0.43,0.04
308,test,1001.01,985.7,-15.31,-1.53
310,control,994.58,981.99,-12.58,-1.26
314,test,984.18,985.36,1.18,0.12
320,control,1013.84,1024.79,10.95,1.08
324,control,1022.84,983.66,-39.18,-3.83
326,control,1022.89,996.55,-26.34,-2.58
328,test,975.99,991.06,15.07,1.54
332,test,993.61,993.08,-0.53,-0.05
335,test,987.77,1002.02,14.25,1.44
336,control,1001.13,1014.75,13.62,1.36
340,control,998.8,1038.04,39.24,3.93
348,test,992.16,1004.3,12.14,1.22
353,control,1019.63,989.36,-30.28,-2.97
355,control,1000.61,1009.47,8.85,0.88
359,test,1020.71,1007.86,-12.85,-1.26
371,control,999.84,986.15,-13.69,-1.37
381,test,995.27,1028.06,32.79,3.29
393,control,981.36,1001.87,20.52,2.09
394,test,995.82,989.38,-6.45,-0.65
397,control,1011.29,988.87,-22.42,-2.22
413,test,1006.62,1005.13,-1.49,-0.15
420,test,1017.83,992.77,-25.07,-2.46
444,control,985.47,1010.17,24.7,2.51
445,control,1009.08,972.36,-36.72,-3.64
458,test,998.32,1034.05,35.72,3.58
469,test,980.85,1005.91,25.06,2.55
486,control,991.29,996.93,5.64,0.57
488,control,982.05,1007.35,25.3,2.58
492,test,999.72,983.29,-16.43,-1.64
