,Fact ID,Market Segment,Price Group,Room Type,latitude,longitude,action_order_success,action_order_success_std,conversion_rate_total
0,74321832,Abakan,6,3,53.72068,91.4406019,15802,132.84712179578284,0.6908824909021855
1,74321900,Abakan,6,3,53.72068,91.4406019,12898,78.88525898552297,0.6184120737504285
2,74221340,Achinsk,6,3,56.2694846,90.4953964,8858,65.67094912438257,0.7354717279978016
3,74014457,Aksay,4,0,47.268696,39.861362,9554,92.7303607212802,0.6375200638969879
4,74021557,Aleksandrov,9,3,56.3962287,38.7111103,15373,76.83353176842792,0.7515125608211485
5,74021895,Almetyevsk,0,3,54.9005008,52.2963777,11200,98.3113010682157,0.6720759243512057
6,74220499,Anapa,7,4,44.894272,37.316887,24312,168.91979344215812,0.681770892023009
7,74221287,Anapa,7,3,44.894272,37.316887,16009,177.15752643115076,0.7209635886708472
8,74221451,Anapa,7,4,44.894272,37.316887,8977,48.835775384378636,0.7342543082595255
9,74220902,Andreevka,4,3,49.5241416,84.4687681,15408,77.80577521615794,0.7945711081818442
10,74021395,Angarsk,6,0,52.5443167,103.8882138,17738,163.64186054094856,0.62250019759352
11,74021811,Anzhero-Sudzhensk,0,3,56.077808,86.019356,6147,53.7895334593491,0.728598882854579
12,74221156,Aprelevka,4,2,55.5454306,37.0730417,9822,49.62795795241142,0.8146650084549816
13,74221175,Aprelevka,4,3,55.5454306,37.0730417,15193,67.36231199783923,0.8247597385077846
14,74021271,Arkhangelsk,5,0,64.543022,40.537121,16304,130.73241003125986,0.7128676125722864
15,74021467,Arkhangelsk,5,3,64.543022,40.537121,11324,70.49603163434432,0.8185980889816549
16,74021100,Armavir,7,0,44.9993585,41.1294061,9289,109.40096057822616,0.7041266455799414
17,74021165,Armavir,7,3,44.9993585,41.1294061,13695,76.67080053146267,0.7695046577724594
18,74021600,Artyom,0,3,43.3570377,132.1853629,28646,163.32264491139043,0.7296524435967462
19,74021315,Astrakhan,4,0,46.3498308,48.0326203,25041,191.2762734422513,0.7577563177035354
20,74021370,Astrakhan,4,0,46.3498308,48.0326203,16802,90.00476525953256,0.7961666179165855
21,74021614,Astrakhan,4,4,46.3498308,48.0326203,12278,53.89336682253829,0.7074446850771461
22,74021615,Astrakhan,4,3,46.3498308,48.0326203,17420,70.1627583311945,0.7778885495556467
23,74021616,Astrakhan,4,0,46.3498308,48.0326203,22724,141.4889361314836,0.8110099543098452
24,74021702,Astrakhan,4,3,46.3498308,48.0326203,8618,62.71176655270046,0.6973262813169665
25,74021867,Balakovo,0,3,52.01812,47.819141,12267,99.72582715377077,0.6815634433821735
26,74021534,Balashikha,0,3,55.7997662,37.9373707,9088,56.66222524242723,0.7294789921866977
27,74020490,Balashikha,0,2,55.7997662,37.9373707,9211,55.410202890944056,0.7313505005402273
28,74220627,Balashikha,0,2,55.7997662,37.9373707,5361,32.496384992703184,0.7580741486684728
29,74220970,Balashikha,0,3,55.7997662,37.9373707,12497,62.423175842034134,0.7931187321096429
30,74221019,Balashikha,0,4,55.7997662,37.9373707,8689,46.414290265522006,0.7816002496404856
31,74221037,Balashikha,4,3,55.7997662,37.9373707,14552,65.04393155845864,0.8024028213577195
32,74220934,Balashikha,0,2,55.7997662,37.9373707,7705,39.42961827532919,0.7274238020633574
33,74221419,Balashikha,4,0,55.7997662,37.9373707,18682,124.93116400381602,0.7284935036187978
34,74221442,Balashikha,0,0,55.7997662,37.9373707,11321,72.65396321555569,0.7633297984036327
35,74221472,Balashikha,0,4,55.7997662,37.9373707,7214,37.8931851882271,0.7124594666883711
36,74021976,Balashov,0,0,51.5546717,43.1430732,11553,102.87147978610717,0.7097202347503884
37,74020454,Barnaul,0,3,53.3475493,83.7788448,12572,90.61181284229123,0.7596635907227334
38,74020505,Barnaul,0,3,53.3475493,83.7788448,16576,89.29554432102965,0.735879569479045
39,74020654,Barnaul,0,0,53.3475493,83.7788448,5496,61.06521955222169,0.7811165990854869
40,74020809,Barnaul,0,3,53.3475493,83.7788448,15320,70.18699959594157,0.8300849956594899
41,74020979,Barnaul,0,3,53.3475493,83.7788448,5168,30.548166494741974,0.7398467477062474
42,74021092,Barnaul,0,0,53.3475493,83.7788448,15106,137.58925560575346,0.7411084278875386
43,74021907,Barnaul,0,4,53.3475493,83.7788448,7523,50.935705701287965,0.718759649290183
44,74021908,Barnaul,0,3,53.3475493,83.7788448,8163,58.90662612562154,0.7796809453635866
45,74021306,Bataysk,4,2,47.138527,39.742348,6835,49.6869775630232,0.7468691183688277
46,74020591,Belgorod,4,3,50.5955595,36.5873394,12802,76.31342866061907,0.7346102040561011
47,74020621,Belgorod,4,0,50.5955595,36.5873394,16518,150.95634082414966,0.7451520296067106
48,74021352,Belgorod,4,2,50.5955595,36.5873394,10111,64.43160339788295,0.6729319437876996
49,74021977,Belovo,0,3,54.419323,86.303429,9293,65.40777720038909,0.7144458140128269
50,74220834,Berdsk,1,2,54.75795,83.1068095,7054,60.94765924889815,0.7633883665754747
51,74321851,Berdsk,1,3,54.75795,83.1068095,7927,59.52846247478201,0.645954960425794
52,74321831,Beryozovsky,0,3,56.9097871,60.8120254,10196,68.54223676355606,0.7540413273098328
53,74021243,Biysk,0,3,52.5394905,85.2148673,8334,65.47402343189933,0.6211754977002343
54,74021408,Blagoveshchensk,0,3,50.2600417,127.5337378,31386,154.51960481012335,0.7501245470163501
55,74021435,Blagoveshchensk,0,2,50.2600417,127.5337378,17178,105.19923811153826,0.7234019532369136
56,74021938,Bratsk,6,3,56.1517085,101.6334907,13565,108.87845307433264,0.6159417663152491
57,74220437,Bronnitsy,4,4,55.422,38.2591,11820,56.079226985115625,0.7784155262103057
58,74021282,Bryansk,0,0,53.27896405,34.36589361201107,13737,129.6849203702133,0.7732127449031274
59,74021462,Bryansk,0,2,53.27896405,34.36589361201107,4863,28.65483664758296,0.6936751960168275
60,74021973,Bryansk,0,0,53.27896405,34.36589361201107,9439,66.01971016541815,0.7565636394996109
61,74021516,Bykovo,0,3,55.6311596,38.0761816,7736,38.06235485545866,0.7812093382721802
62,74021319,Chaykovsky,0,3,56.7787468,54.1500704,9283,58.28361647903026,0.6706796804292288
63,74021302,Cheboksary,4,0,56.1307195,47.2449597,12312,101.73574120711483,0.7172944186679128
64,74021639,Cheboksary,4,3,56.1307195,47.2449597,11671,65.49396353297956,0.6997791967605034
65,74221272,Chekhov,4,0,55.1426603,37.4545328,14354,107.39531826837198,0.7809473006907255
66,74022011,Chekhov,0,2,55.1426603,37.4545328,3171,28.634729390597137,0.6774496921204701
67,74020520,Chelyabinsk,9,0,55.1598408,61.4025547,18156,155.5974780900061,0.6175421273340601
68,74020652,Chelyabinsk,9,3,55.1598408,61.4025547,14237,91.10842114817781,0.6995008391925513
69,74020653,Chelyabinsk,9,0,55.1598408,61.4025547,9134,93.61705444098054,0.6783862881431659
70,74021244,Chelyabinsk,9,3,55.1598408,61.4025547,16402,90.01572892352804,0.7020574828422295
71,74021567,Chelyabinsk,9,0,55.1598408,61.4025547,14668,106.17830914708206,0.6285327948155068
72,74321790,Chelyabinsk,9,4,55.1598408,61.4025547,8122,53.040793871663915,0.7060391385852607
73,74321791,Chelyabinsk,9,2,55.1598408,61.4025547,10061,63.86129195678406,0.7225155226766173
74,74321792,Chelyabinsk,9,1,55.1598408,61.4025547,9965,79.27869530221884,0.7220879849592846
75,74321819,Chelyabinsk,9,1,55.1598408,61.4025547,9925,49.371431218381524,0.764345880377408
76,74321820,Chelyabinsk,9,3,55.1598408,61.4025547,16308,148.53242601852085,0.6953870572960239
77,74321827,Chelyabinsk,9,0,55.1598408,61.4025547,12463,112.71827891252823,0.6988618491126523
78,74020617,Cherepovets,4,3,59.128696,37.916389,13879,93.05895266807593,0.7342085933230296
79,74021903,Cherepovets,4,4,59.128696,37.916389,7959,61.521956469374,0.7937943897036778
80,74020672,Cherkessk,4,3,44.22538305,42.06819662981461,15069,90.88270139874716,0.6771306112363552
81,74221036,Chernaya Gryaz,0,2,56.2277649,28.4191006,10902,50.76680802446103,0.7446128784773145
82,74321845,Chernogorsk,6,3,53.828236,91.31321,5776,39.16600809983309,0.6352270634920111
83,74021878,Chita,6,0,52.033409,113.500893,14049,100.304376998777,0.5327480280879469
84,74021879,Chita,6,0,52.033409,113.500893,16827,82.20263014403739,0.6802281279105366
85,74220840,Churilkovo,4,2,55.4953336,37.8301044,4483,24.50545947048635,0.7015408570953687
86,74022006,Dagestanskie Ogni,4,4,42.1152434,48.1864201,2961,31.44349867655565,0.40723917333410786
87,74022007,Derbent,4,3,42.057858,48.2887648,7141,59.079604563035765,0.4079292710456763
88,74220713,Dmitrov,4,4,56.3450695,37.5200723,8761,43.08420530620435,0.7840063498858074
89,74220911,Dmitrov,4,3,56.3450695,37.5200723,12330,61.08020426769592,0.7965403886266207
90,74221173,Dolgoprudny,4,3,55.946607650000004,37.50483582166906,10687,59.54863642645922,0.7632793389187784
91,74021607,Domodedovo,0,3,55.4368213,37.7680693,3647,16.855603330535622,0.7194794460042752
92,74220659,Domodedovo,4,0,55.4368213,37.7680693,17896,108.12178400044367,0.7471305865770322
93,74321662,Domodedovo,4,0,55.4368213,37.7680693,8946,83.51163756640481,0.7558387641050636
94,74321794,Domodedovo,4,3,55.4368213,37.7680693,16592,74.76039839326566,0.8150945256786314
95,74321806,Domodedovo,4,2,55.4368213,37.7680693,6487,35.72935897454403,0.7770533396827171
96,74021015,Domodedovo airport,10,3,55.40912105,37.904166212415895,25654,138.82201237259616,0.5820011575345816
97,74321849,Dubna,4,3,56.74177675,37.17553296960783,12564,170.8217813150885,0.6958334507223667
98,74321866,Dzerjinsk,0,3,56.2382157,43.4617405,12101,71.34472773400006,0.751576217714875
99,74321867,Dzerjinsk,0,3,56.2382157,43.4617405,9710,76.837140207638,0.7477133402708699
100,74221414,Ekaterinburg,0,0,56.839104,60.60825,11861,58.34389449687651,0.7653924293849054
101,74221439,Ekaterinburg,0,2,56.839104,60.60825,7611,45.97402421210958,0.7445025350727414
102,74221450,Ekaterinburg,0,3,56.839104,60.60825,18389,84.35262834725964,0.7542672305925284
103,74213756,Ekaterinburg,9,0,56.839104,60.60825,13837,148.93050640935982,0.7674787271844996
104,74220426,Ekaterinburg,0,4,56.839104,60.60825,23917,110.62030613917959,0.772732825542479
105,74220433,Ekaterinburg,0,3,56.839104,60.60825,13474,81.72225487806787,0.8251641896960258
106,74220550,Ekaterinburg,0,0,56.839104,60.60825,14773,99.53375644312435,0.7369527808483669
107,74220607,Ekaterinburg,9,3,56.839104,60.60825,16558,75.994746212522,0.7772998644547765
108,74220766,Ekaterinburg,0,3,56.839104,60.60825,26826,148.70225064417303,0.7686443989892568
109,74220765,Ekaterinburg,9,0,56.839104,60.60825,11536,93.55348494553552,0.7319607142020585
110,74220854,Ekaterinburg,0,2,56.839104,60.60825,19253,78.20988646489732,0.8012312913261179
111,74220935,Ekaterinburg,0,3,56.839104,60.60825,36558,214.67471981978596,0.7781897153081346
112,74220954,Ekaterinburg,0,3,56.839104,60.60825,8132,37.05851229249946,0.7380509479769652
113,74220975,Ekaterinburg,9,0,56.839104,60.60825,17112,178.72112522447858,0.7269564856986191
114,74221082,Ekaterinburg,0,0,56.839104,60.60825,38026,226.20116443550847,0.6859398950439686
115,74221041,Ekaterinburg,9,4,56.839104,60.60825,19317,109.10729025344219,0.789618752964414
116,74221255,Ekaterinburg,0,4,56.839104,60.60825,5634,32.203476672161294,0.7611206483838564
117,74321681,Ekaterinburg,0,0,56.839104,60.60825,14893,162.40840873572455,0.7824785419285702
118,74321805,Ekaterinburg,0,3,56.839104,60.60825,19945,107.2787225444866,0.767829546861284
119,74321847,Ekaterinburg,0,3,56.839104,60.60825,12725,56.342473417280345,0.7898044429713678
120,74321887,Ekaterinburg,0,3,56.839104,60.60825,20222,153.79474852973584,0.7011956828497483
121,74020777,Elektrostal,4,0,55.7903785,38.4405711,7703,41.84385882424395,0.7381886751115393
122,74015983,Elektrostal,4,0,55.7903785,38.4405711,6004,59.24987442220971,0.7795631603704708
123,74220797,Elektrostal,4,4,55.7903785,38.4405711,7502,32.5377552050608,0.7715244617184993
124,74021511,Elektrougli,0,3,55.7184467,38.2228192,7010,39.49918624839902,0.7763436115792466
125,74021807,Elets,4,3,52.6219865,38.5003298,11406,81.67786992870361,0.7797534478378519
126,74021181,Engels,0,0,51.5013775,46.1233093,15152,116.5775527901334,0.7172899411844774
127,74021705,Engels,0,3,51.5013775,46.1233093,20430,123.16553138074288,0.7524846658602699
128,74221035,Ermolino,0,4,57.0963256,41.2468583,5557,32.64130248548889,0.750025204607124
129,74321896,Fryazino,4,0,55.954618,38.0567691,11299,74.8815773509507,0.6997309757033656
130,74020542,Gatchina,4,3,59.5706273,30.1305083,6707,46.421532389127776,0.7917435806489869
